Dye/Sample Peak	Sample File Name	Size	Height	Area	Data Point
"B,1"	E514Cou_X+_0.005_X+_dATP_Burst_TLD_8/9/19_B07.fsa		72	1013	1948
"B,2"	E514Cou_X+_0.005_X+_dATP_Burst_TLD_8/9/20_B07.fsa		36	453	1981
"B,3"	E514Cou_X+_0.005_X+_dATP_Burst_TLD_8/9/21_B07.fsa		49	513	2426
"B,4"	E514Cou_X+_0.005_X+_dATP_Burst_TLD_8/9/22_B07.fsa		1458	17126	2447
"B,5"	E514Cou_X+_0.005_X+_dATP_Burst_TLD_8/9/23_B07.fsa		54	728	3187
"Y,1"	E514Cou_X+_0.005_X+_dATP_Burst_TLD_8/9/24_B07.fsa		457	5913	2777
"B,1"	E514Cou_X+_0.01_X+_dATP_Burst_TLD_8/9/25_C07.fsa		31	447	1940
"B,2"	E514Cou_X+_0.01_X+_dATP_Burst_TLD_8/9/26_C07.fsa		124	1307	2416
"B,3"	E514Cou_X+_0.01_X+_dATP_Burst_TLD_8/9/27_C07.fsa		1421	16809	2437
"Y,1"	E514Cou_X+_0.01_X+_dATP_Burst_TLD_8/9/28_C07.fsa		380	5083	2766
"B,1"	E514Cou_X+_0.02_X+_dATP_Burst_TLD_8/9/29_D07.fsa		172	2029	2496
"B,2"	E514Cou_X+_0.02_X+_dATP_Burst_TLD_8/9/30_D07.fsa		1431	17807	2519
"Y,1"	E514Cou_X+_0.02_X+_dATP_Burst_TLD_8/9/31_D07.fsa		379	5393	2861
"B,1"	E514Cou_X+_0.05_X+_dATP_Burst_TLD_8/9/32_E07.fsa		38	374	2464
"B,2"	E514Cou_X+_0.05_X+_dATP_Burst_TLD_8/9/33_E07.fsa		259	3139	2496
"B,3"	E514Cou_X+_0.05_X+_dATP_Burst_TLD_8/9/34_E07.fsa		1280	15894	2518
"B,4"	E514Cou_X+_0.05_X+_dATP_Burst_TLD_8/9/35_E07.fsa		39	493	3379
"Y,1"	E514Cou_X+_0.05_X+_dATP_Burst_TLD_8/9/36_E07.fsa		371	5260	2862
